# MJD orderslope
# subtract (m - 84) * orderslope from each order at MJD
58610.598129 0.954574
58610.601831 0.964729
58610.614132 0.979781
58610.633103 0.996014
58610.655184 1.033087
58610.662490 1.047554
58610.673422 1.056269
58610.677044 1.057729
58610.688678 1.072305
58610.699949 1.086599
58610.707148 1.091406
58610.718222 1.100549
58610.722148 1.107776
58610.726025 1.113210
58610.746174 1.107703
58610.750679 1.115722
58610.755113 1.123058
58610.759053 1.123352
58610.762863 1.126491
58610.778697 1.146989
58610.782927 1.145666
58610.787029 1.142792
58611.241752 1.049384
58614.365476 -0.462620
58614.375495 -0.465936
58614.395336 -0.413270
58614.403759 -0.405453
58614.410097 -0.404327
58614.415975 -0.395522
58614.421870 -0.392918
58614.443290 -0.383473
58614.476341 -0.356581
58614.479778 -0.354008
58614.499191 -0.348287
58614.508412 -0.318793
58614.520069 -0.300261
58614.523038 -0.289492
58614.580860 -0.179583
58614.584736 -0.169584
58614.591330 -0.152757
58614.597979 -0.136657
58614.600844 -0.133139
58614.607369 -0.124305
58614.613912 -0.113053
58614.620442 -0.098731
58614.623476 -0.093866
58614.629922 -0.083789
58614.639892 -0.081939
58614.646646 -0.067540
58614.650216 -0.067122
58614.653527 -0.065769
58614.657086 -0.065239
58614.660658 -0.065399
58614.664235 -0.064898
58614.671322 -0.075006
58614.678138 -0.085127
58614.686553 -0.072905
58614.688947 -0.067703
58614.691358 -0.062451
58614.698407 -0.045091
58614.717978 -0.013003
58614.721072 -0.006290
58614.727459 0.000543
58614.730706 0.001975
58614.744351 -0.002453
58614.751534 -0.007152
58614.758877 -0.012384
58614.762542 -0.015385
58614.766166 -0.014943
58614.769777 -0.021058
58614.773379 -0.026368
58614.789288 -0.038594
58615.367776 -0.357195
58615.372301 -0.368778
58615.377035 -0.383612
58615.381890 -0.396462
58615.386648 -0.409430
58615.391529 -0.417246
58615.396511 -0.424484
58615.401532 -0.434424
58615.407007 -0.439450
58615.412492 -0.445253
58615.418028 -0.449546
58615.423561 -0.449272
58615.429094 -0.448706
58615.437833 -0.460902
58615.472600 -0.482930
58615.481958 -0.494607
58615.492040 -0.506056
58615.507430 -0.519348
58615.517710 -0.521031
58615.528105 -0.520379
58615.549268 -0.501369
58615.567154 -0.459027
58615.577569 -0.439272
58615.588106 -0.414518
58615.598517 -0.397148
58615.614431 -0.369694
58615.619574 -0.355315
58615.624854 -0.343708
58615.640523 -0.300707
58615.650919 -0.274993
58615.661294 -0.257334
58615.676440 -0.252881
58615.686439 -0.244081
58615.704276 -0.284491
58615.717168 -0.290338
58615.721773 -0.281173
58615.726281 -0.272429
58615.730726 -0.267151
58615.735101 -0.261842
58615.748421 -0.256576
58615.763751 -0.257377
58615.768969 -0.244128
58615.774159 -0.232248
58615.779323 -0.221436
58615.784460 -0.211175
58615.789466 -0.202001
58615.794425 -0.203035
58620.636558 -0.214747
58620.645804 -0.198936
58620.650287 -0.193967
58620.654695 -0.190613
58620.659216 -0.178586
58620.663523 -0.165575
58620.668426 -0.168796
58620.673322 -0.169223
58620.678081 -0.160889
58620.682581 -0.148946
58620.686871 -0.144379
58620.691264 -0.144923
58620.695562 -0.140602
58620.699749 -0.133872
58620.707652 -0.112426
58620.720916 -0.108028
58620.726050 -0.096181
58621.291286 -0.663167
58621.305893 -0.723060
58621.321144 -0.791347
58621.337774 -0.794974
58621.448813 -0.701110
58621.472818 -0.687346
58621.492259 -0.649583
58621.496715 -0.627798
58621.545612 -0.503436
58621.558750 -0.497726
58621.561576 -0.488073
58621.564562 -0.471577
58621.567690 -0.456724
58621.570947 -0.441467
58621.574350 -0.428255
58621.577927 -0.419298
58621.586194 -0.391849
58621.589750 -0.382452
58621.593311 -0.376219
58621.596876 -0.373602
58621.604452 -0.336646
58621.608023 -0.329140
58621.611438 -0.322837
58621.614775 -0.315355
58621.621492 -0.300174
58621.624870 -0.293612
58621.633976 -0.250156
58621.654838 -0.199607
58621.658683 -0.202961
58621.669219 -0.190332
58621.683547 -0.197403
58621.690760 -0.200565
58621.694079 -0.199202
58621.697302 -0.193367
58621.700503 -0.193245
58621.703679 -0.192696
58621.706829 -0.193318
58621.709887 -0.191973
58621.713083 -0.187089
58621.716385 -0.180446
58621.723359 -0.188909
58621.734249 -0.152903
58621.756008 -0.141146
58621.760367 -0.150121
58621.764627 -0.158862
58621.768775 -0.170669
