# m MJD offset
# Subtract offset as function of MJD in each order m. Missing m means no calibration available
67 58614.414673 17.614358
67 58614.420108 16.946129
67 58614.435878 16.251503
67 58614.444796 15.518450
67 58614.451869 14.642027
67 58614.455672 14.663101
67 58614.555869 15.901968
67 58614.587532 17.744249
67 58614.621214 14.571928
67 58614.629584 14.236317
67 58614.643266 13.822319
67 58614.660325 13.673164
67 58614.681825 14.448868
67 58614.694607 14.849359
67 58614.698619 14.836526
67 58614.703199 14.907648
67 58614.711142 14.854440
67 58614.733400 14.675277
67 58614.738435 14.637127
67 58614.813711 16.547538
67 58614.848723 20.135509
67 58615.298284 12.185431
67 58615.340604 12.835450
67 58615.345347 14.049371
67 58615.349041 14.307866
67 58615.362209 17.243585
67 58615.369942 17.967559
67 58615.374822 18.510900
67 58615.390075 17.610787
67 58615.408887 16.585322
67 58615.414364 15.966448
67 58615.482186 17.285464
67 58615.488125 16.919930
67 58615.493555 16.632900
67 58615.504848 16.674590
67 58615.509658 16.415259
67 58615.524099 15.584990
67 58615.549555 15.010264
67 58615.568307 14.127089
67 58615.603108 13.474113
67 58615.609840 13.616035
67 58615.611159 13.669059
67 58615.659665 18.761338
67 58615.665992 18.151723
67 58615.671350 17.382783
67 58615.677623 17.136005
67 58615.694094 13.531351
67 58615.716423 9.153602
67 58615.732893 7.220378
67 58615.749189 7.477998
67 58615.765669 8.223378
67 58615.777690 8.904580
67 58615.791845 10.740148
67 58615.810760 15.096268
67 58615.829114 19.618072
67 58615.833374 20.699818
67 58620.586572 16.302278
67 58620.592286 15.888309
67 58620.611781 16.389394
67 58620.633831 17.067180
67 58620.645530 17.723533
67 58620.649825 17.723839
67 58620.709204 14.839125
67 58620.715781 14.765093
67 58620.718523 14.741410
67 58620.721070 14.832603
67 58620.727854 14.482788
67 58621.209403 29.340763
67 58621.265670 23.013077
67 58621.338381 14.109067
67 58621.408138 26.095620
67 58621.438499 28.915264
67 58621.497462 19.878489
67 58621.504411 19.220608
67 58621.510007 17.756468
67 58621.523690 15.549020
67 58621.532488 14.425870
67 58621.536013 13.954556
67 58621.544904 13.030281
67 58621.576952 13.954290
67 58621.586887 13.891946
67 58621.593155 14.122296
67 58621.616892 16.624915
67 58621.622347 16.664484
67 58621.664937 11.028600
67 58621.718785 14.198545
67 58621.723315 14.712890
67 58621.735427 14.566382
67 58621.754158 13.827870
